Date,Open,High,Low,Close,Volume,Change,MA_5,MA_20,Volatility_20,Volume_MA_5,Price_Range,Price_Range_Pct,Close_Position
2024-11-28,56000,56400,55200,55500,20001134,-0.0142095914742451,,,,,1200,2.1621621621621623,25.0
2024-11-29,55100,55300,53800,54200,24513531,-0.0234234234234234,,,,,1500,2.7675276752767526,26.666666666666668
2024-12-02,54300,54400,53100,53600,22044867,-0.0110701107011069,,,,,1300,2.425373134328358,38.46153846153847
2024-12-03,53100,54400,53100,53600,23374603,0.0,,,,,1300,2.425373134328358,38.46153846153847
2024-12-04,52000,53400,52000,53100,29004766,-0.0093283582089552,54000.0,,,23787780.2,1400,2.6365348399246704,78.57142857142857
2024-12-05,53200,54400,53200,53700,23588277,0.0112994350282484,53640.0,,,24505208.8,1200,2.2346368715083798,41.66666666666667
2024-12-06,53900,54400,52700,54100,22861874,0.0074487895716945,53620.0,,,24174877.4,1700,3.1423290203327174,82.35294117647058
2024-12-09,53500,54600,53200,53400,26227680,-0.0129390018484288,53580.0,,,25011440.0,1400,2.6217228464419478,14.285714285714285
2024-12-10,54500,54500,53700,54000,20783970,0.0112359550561798,53660.0,,,24493313.4,800,1.4814814814814816,37.5
2024-12-11,53600,54200,53400,54000,14565947,0.0,53840.0,,,21605549.6,800,1.4814814814814816,75.0
2024-12-12,54000,56500,53900,55900,33476698,0.0351851851851852,54280.0,,,23583233.8,2600,4.651162790697675,76.92307692307693
2024-12-13,55800,56300,55500,56100,15908823,0.0035778175313059,54680.0,,,22192623.6,800,1.4260249554367201,75.0
2024-12-16,56300,56600,55200,55600,15277277,-0.0089126559714795,55120.0,,,20002543.0,1400,2.5179856115107913,28.57142857142857
2024-12-17,54700,55200,54000,54200,20215230,-0.0251798561151078,55160.0,,,19888795.0,1200,2.214022140221402,16.666666666666664
2024-12-18,54100,55400,54000,54900,13698937,0.0129151291512914,55340.0,,,19715393.0,1400,2.5500910746812386,64.28571428571429
2024-12-19,53500,53800,53100,53100,22481925,-0.0327868852459016,54780.0,,,17516438.4,700,1.3182674199623352,0.0
2024-12-20,52700,53100,51900,53000,24674774,-0.0018832391713747,54160.0,,,19269628.6,1200,2.2641509433962264,91.66666666666666
2024-12-23,53400,54000,53300,53500,13672650,0.009433962264151,53740.0,,,18948703.2,700,1.3084112149532712,28.57142857142857
2024-12-24,53700,54500,53600,54400,11634677,0.016822429906542,53780.0,,,17232592.6,900,1.6544117647058825,88.88888888888889
2024-12-26,54500,54600,53500,53600,10517075,-0.0147058823529411,53520.0,54175.0,0.016426225010668233,16596220.2,1100,2.0522388059701493,9.090909090909092
2024-12-27,53500,54100,53200,53700,10747196,0.001865671641791,53640.0,54085.0,0.016205955107707753,14249274.4,900,1.675977653631285,55.55555555555556
2024-12-30,53300,54000,53100,53200,12624702,-0.0093109869646182,53680.0,54035.0,0.015493753706363952,11839260.0,900,1.6917293233082706,11.11111111111111
2025-01-02,52700,53600,52300,53400,16630538,0.0037593984962405,53660.0,54025.0,0.015331223951824034,12430837.6,1300,2.4344569288389515,84.61538461538461
2025-01-03,52800,55100,52800,54400,19318046,0.0187265917602996,53660.0,54065.0,0.015897447470519223,13967511.4,2300,4.227941176470589,69.56521739130434
2025-01-06,54400,56200,54300,55900,19034284,0.0275735294117647,54120.0,54205.0,0.016770091975142593,15670953.2,1900,3.3989266547406083,84.21052631578947
2025-01-07,56800,57300,55400,55400,17030235,-0.0089445438282647,54460.0,54290.0,0.016834944437814622,16927561.0,1900,3.429602888086643,0.0
2025-01-08,54800,57500,54700,57300,26593553,0.0342960288808664,55280.0,54450.0,0.01832258301730479,19721331.2,2800,4.886561954624781,92.85714285714286
2025-01-09,57600,57700,56100,56100,24490592,-0.0209424083769633,55820.0,54585.0,0.018771747387612583,21293342.0,1600,2.8520499108734403,0.0
2025-01-10,56100,56500,55200,55300,16059223,-0.0142602495543672,56000.0,54650.0,0.019021077038631533,20641577.4,1300,2.3508137432188065,7.6923076923076925
2025-01-13,54600,55000,54100,54100,16868600,-0.0216998191681736,55640.0,54655.0,0.019709269291317635,20208440.6,900,1.6635859519408502,0.0
2025-01-14,54200,54600,53700,53900,17465926,-0.0036968576709797,55340.0,54555.0,0.017921213816311194,20295578.8,900,1.6697588126159555,22.22222222222222
2025-01-15,54100,54700,53500,53700,18625025,-0.0037105751391465,54620.0,54435.0,0.01788299824110812,18701873.2,1200,2.2346368715083798,16.666666666666664
2025-01-16,54200,55000,54100,54300,18627298,0.0111731843575419,54260.0,54370.0,0.018039568731744296,17529214.4,900,1.6574585635359116,22.22222222222222
2025-01-17,53800,54100,53200,53700,18805344,-0.011049723756906,53940.0,54345.0,0.01730565467428203,18078438.6,900,1.675977653631285,55.55555555555556
2025-01-20,53600,53900,53300,53400,11822531,-0.0055865921787709,53800.0,54270.0,0.01705352864714648,17069224.8,600,1.1235955056179776,16.666666666666664
2025-01-21,53700,54300,53300,53500,13535702,0.0018726591760298,53720.0,54290.0,0.015356281905518934,16283180.0,1000,1.8691588785046727,20.0
2025-01-22,53400,54400,53100,54300,18341991,0.0149532710280373,53840.0,54355.0,0.015677651780604332,16226573.2,1300,2.394106813996317,92.3076923076923
2025-01-23,53700,54100,53500,53700,15588067,-0.011049723756906,53720.0,54365.0,0.01578894934787027,15618727.0,600,1.1173184357541899,33.33333333333333
2025-01-24,53600,53800,53200,53700,11867631,0.0,53720.0,54330.0,0.015303286159023639,14231184.4,600,1.1173184357541899,83.33333333333334
2025-01-31,52200,53000,51700,52400,42186279,-0.0242085661080074,53520.0,54270.0,0.015902158686932188,20303934.0,1300,2.480916030534351,53.84615384615385
2025-02-03,51100,51400,50800,51000,32344897,-0.0267175572519083,53020.0,54135.0,0.016884031418608815,24065773.0,600,1.1764705882352942,33.33333333333333
2025-02-04,51600,53600,51500,52700,27214851,0.0333333333333334,52700.0,54110.0,0.018578470369292607,25840345.0,2100,3.984819734345351,57.14285714285714
2025-02-05,53600,53800,52800,52900,15974885,0.0037950664136623,52540.0,54085.0,0.01857888316039358,25917708.6,1000,1.890359168241966,10.0
2025-02-06,53400,54000,53200,54000,16466025,0.0207939508506616,52600.0,54065.0,0.01869573904939797,26837387.4,800,1.4814814814814816,100.0
2025-02-07,53900,54200,53600,53700,14476866,-0.0055555555555555,52860.0,53955.0,0.01753683087470329,21295504.8,600,1.1173184357541899,16.666666666666664
2025-02-10,53000,55900,52900,55600,27577591,0.0353817504655493,53780.0,53965.0,0.01930612834366546,20342043.6,3000,5.39568345323741,90.0
2025-02-11,55500,56300,55000,55700,24596196,0.0017985611510791,54380.0,53885.0,0.017590610001345788,19818312.6,1300,2.333931777378815,53.84615384615385
2025-02-12,55100,55900,54500,55800,26428596,0.0017953321364452,54960.0,53870.0,0.01697622037169785,21909054.8,1400,2.5089605734767026,92.85714285714286
2025-02-13,56100,56400,55600,55800,22448377,0.0,55320.0,53895.0,0.016647883796742438,23105525.2,800,1.4336917562724014,25.0
2025-02-14,56000,57300,56000,56000,23979779,0.0035842293906809,55780.0,53990.0,0.015805567948178088,25006107.8,1300,2.3214285714285716,0.0
2025-02-17,56100,56500,55700,56000,11916027,0.0,55860.0,54095.0,0.01575889022048453,21873795.0,800,1.4285714285714286,37.5
2025-02-18,56200,57200,55900,56900,22131007,0.0160714285714285,56100.0,54255.0,0.0159985935331845,21380757.2,1300,2.2847100175746924,76.92307692307693
2025-02-19,57400,58900,57300,58700,25395151,0.031634446397188,56680.0,54475.0,0.01715955229469282,21174068.2,1600,2.72572402044293,87.5
2025-02-20,59100,59100,58100,58400,21589059,-0.0051107325383304,57200.0,54710.0,0.01693454818531627,21002204.6,1000,1.7123287671232876,30.0
2025-02-21,58400,58500,57100,58200,22198428,-0.0034246575342465,57640.0,54950.0,0.016874648809693985,20645934.4,1400,2.405498281786942,78.57142857142857
2025-02-24,57300,57700,57200,57300,14138471,-0.0154639175257731,57900.0,55140.0,0.017449360994261535,21090423.2,500,0.8726003490401396,20.0
2025-02-25,56600,57800,56500,57200,14625181,-0.0017452006980802,57960.0,55285.0,0.017275181625113774,19589258.0,1300,2.272727272727273,53.84615384615385
2025-02-26,57000,57100,56100,56600,18117091,-0.0104895104895105,57540.0,55430.0,0.01725207476932563,18133646.0,1000,1.76678445229682,50.0
2025-02-27,56500,57100,56200,56300,14975356,-0.0053003533568904,57120.0,55560.0,0.017337423751123224,16810905.4,900,1.5985790408525755,11.11111111111111
2025-02-28,55400,55700,54500,54500,28036698,-0.0319715808170515,56380.0,55665.0,0.018039724740652067,17978559.4,1200,2.2018348623853212,0.0
2025-03-04,53900,55000,53800,54500,18553933,0.0,55820.0,55840.0,0.016733791639897442,18861651.8,1200,2.2018348623853212,58.333333333333336
2025-03-05,55100,55400,54000,54000,16578817,-0.0091743119266054,55180.0,55905.0,0.015384422436934308,19252379.0,1400,2.5925925925925926,0.0
2025-03-06,54100,54500,54000,54300,12258101,0.0055555555555555,54720.0,55975.0,0.015404286974455344,18080581.0,500,0.9208103130755065,60.0
2025-03-07,53500,54200,53400,53700,14274992,-0.011049723756906,54200.0,55960.0,0.014934817419218982,17940508.2,800,1.48975791433892,37.5
2025-03-10,53500,54800,53500,53700,12921670,0.0,54040.0,55960.0,0.01488100843043719,14917502.6,1300,2.4208566108007448,15.384615384615385
2025-03-11,52500,54100,52500,53600,17740891,-0.0018621973929237,53860.0,55860.0,0.012349039254172188,14754894.2,1600,2.9850746268656714,68.75
2025-03-12,53800,55300,53600,54900,17973221,0.0242537313432835,54040.0,55820.0,0.013642444223161935,15033775.0,1700,3.096539162112933,76.47058823529412
2025-03-13,55800,55900,54200,54700,24132151,-0.0036429872495445,54120.0,55765.0,0.01364565381023888,17408585.0,1700,3.1078610603290677,29.411764705882355
2025-03-14,54500,55100,54400,54700,10845154,0.0,54320.0,55710.0,0.01364565381023888,16722617.4,700,1.2797074954296161,42.857142857142854
2025-03-17,55500,57800,55400,57600,35559021,0.053016453382084,55100.0,55790.0,0.01821399560873752,21250087.6,2400,4.166666666666666,91.66666666666666
2025-03-18,58800,59000,57300,57600,28138594,0.0,55900.0,55870.0,0.01821399560873752,23329628.2,1700,2.951388888888889,17.647058823529413
2025-03-19,57400,59200,57400,58500,29421759,0.015625,56620.0,55950.0,0.018195546145322646,25619335.8,1800,3.076923076923077,61.111111111111114
2025-03-20,59200,60300,58500,60200,34989004,0.0290598290598289,57720.0,56025.0,0.01797926703960443,27790706.4,1800,2.990033222591362,94.44444444444444
2025-03-21,60900,61700,60400,61700,40155612,0.0249169435215947,59120.0,56190.0,0.018647101933612957,33652798.0,1300,2.106969205834684,100.0
2025-03-24,61200,61600,60500,60500,14088094,-0.019448946515397,59700.0,56305.0,0.019267773308378894,29358612.6,1100,1.8181818181818181,0.0
2025-03-25,60900,61100,59500,59800,17259455,-0.0115702479338842,60140.0,56430.0,0.019099755543537066,27182784.8,1600,2.6755852842809364,18.75
2025-03-26,59800,61400,59700,61400,16431645,0.0267558528428093,60720.0,56640.0,0.019830639044209182,24584762.0,1700,2.768729641693811,100.0
2025-03-27,60900,62000,60800,61800,20389790,0.006514657980456,61040.0,56900.0,0.019551293423464622,21664919.2,1200,1.9417475728155338,83.33333333333334
2025-03-28,60700,61100,60000,60200,16282514,-0.0258899676375404,60740.0,57095.0,0.02061242507238427,16890299.6,1100,1.8272425249169437,18.181818181818183
2025-03-31,59500,59700,57800,57800,17633494,-0.0398671096345515,60200.0,57260.0,0.02138959971676596,17599379.6,1900,3.2871972318339098,0.0
2025-04-01,58700,59600,57900,58800,13841706,0.0173010380622837,60000.0,57475.0,0.021603867255466355,16915829.8,1700,2.891156462585034,52.94117647058824
2025-04-02,58800,59400,58300,58800,14402297,0.0,59480.0,57715.0,0.021405349572994177,16509960.2,1100,1.870748299319728,45.45454545454545
2025-04-03,56900,57800,56900,57600,19508076,-0.0204081632653061,58640.0,57880.0,0.022112541307764938,16333617.4,900,1.5625,77.77777777777779
2025-04-04,56200,58200,55700,56100,23527139,-0.0260416666666666,57820.0,58000.0,0.022861901410446528,17782542.4,2500,4.45632798573975,16.0
2025-04-07,53300,54100,53100,53200,31998883,-0.051693404634581,56900.0,57975.0,0.025875279722742624,20655620.2,1000,1.8796992481203008,10.0
2025-04-08,55000,55300,53300,53500,25532845,0.0056390977443609,55840.0,57970.0,0.02590349129215743,22993848.0,2000,3.7383177570093453,10.0
