,date,open,high,low,close,volume,change,MA_5,MA_20,Volatility,Volume_MA_5,Price_Range
0,2024-11-28,56000,56400,55200,55500,20001134,-0.0142096,55500.0000,55500.0000,1200,20001134.0000,2.1429
1,2024-11-29,55100,55300,53800,54200,24513531,-0.0234234,54850.0000,54850.0000,1500,22257332.5000,2.7223
2,2024-12-02,54300,54400,53100,53600,22044867,-0.0110701,54433.3333,54433.3333,1300,22186510.6667,2.3941
3,2024-12-03,53100,54400,53100,53600,23374603,0.0,54225.0000,54225.0000,1300,22483533.7500,2.4482
4,2024-12-04,52000,53400,52000,53100,29004766,-0.00932836,54000.0000,54000.0000,1400,23787780.2000,2.6923
